"Persons Naturalized During Fiscal Year 2011","","","",""
"by State of Residence and Selected Characteristics","","","",""
"","","","",""
"State: Maine","","","",""
"","","","",""
"Characteristic","Total","Male","Female","Unknown"
"Total","999.0","429.0","570.0","-"
"","","","",""
"Age","","","",""
"Under 18 years","-","-","-","-"
"18-24 years","127.0","56.0","71.0","-"
"25-34 years","266.0","95.0","171.0","-"
"35-44 years","274.0","113.0","161.0","-"
"45-54 years","192.0","98.0","94.0","-"
"55-64 years","85.0","45.0","40.0","-"
"65 years and over","55.0","22.0","33.0","-"
"Unknown","-","-","-","-"
"","","","",""
"Marital status","","","",""
"Single","211.0","104.0","107.0","-"
"Married","653.0","275.0","378.0","-"
"Other","135.0","50.0","85.0","-"
"Unknown","-","-","-","-"
"","","","",""
"Occupation","","","",""
"Management, professional, and related occupations","138.0","61.0","77.0","-"
"Service occupations","128.0","58.0","70.0","-"
"Sales and office occupations","34.0","12.0","22.0","-"
"Farming, fishing, and forestry occupations","-","-","-","-"
"Construction, extraction, maintenance and repair occupations","8.0","8.0","-","-"
"Production, transportation, and material moving occupations","89.0","56.0","33.0","-"
"Military","3.0","3.0","-","-"
"No occupation/not working outside home","525.0","199.0","326.0","-"
"Homemakers","19.0","-","19.0","-"
"Students or children","82.0","31.0","51.0","-"
"Retirees","9.0","5.0","4.0","-"
"Unemployed","415.0","163.0","252.0","-"
"Unknown","74.0","32.0","42.0","-"
"","","","",""
"Leading countries of birth","","","",""
"Bosnia and Herzegovina","18.0","10.0","8.0","-"
"Brazil","15.0","5.0","10.0","-"
"Bulgaria","11.0","3.0","8.0","-"
"Cambodia","24.0","7.0","17.0","-"
"Canada","60.0","27.0","33.0","-"
"China","31.0","14.0","17.0","-"
"Colombia","11.0","D","D","-"
"Congo, Democratic Republic of the","14.0","6.0","8.0","-"
"Germany","13.0","5.0","8.0","-"
"India","34.0","17.0","17.0","-"
"Jamaica","12.0","6.0","6.0","-"
"Kenya","11.0","D","D","-"
"Mexico","13.0","8.0","5.0","-"
"Philippines","36.0","7.0","29.0","-"
"Russia","22.0","5.0","17.0","-"
"Somalia","294.0","135.0","159.0","-"
"Sudan","36.0","19.0","17.0","-"
"Thailand","15.0","D","D","-"
"United Kingdom","33.0","22.0","11.0","-"
"Vietnam","39.0","12.0","27.0","-"
"Other","257.0","117.0","140.0","-"
"D  Data withheld to limit disclosure.","","","",""
"- Represents zero.","","","",""
"Source: U.S. Department of Homeland Security","","","",""
